Year,State,Data_Value,Sex,lon,lat,AVG(Data_Value)
2008,IN,13.7,Male,-84.93658269,40.74577516,179.2729651162792
2009,IN,14.2,Male,-84.93658269,40.74577516,173.4165697674418
2010,IN,17.4,Male,-84.93658269,40.74577516,187.66947674418608
2011,IN,25.0,Male,-84.93658269,40.74577516,216.09186046511624
2012,IN,29.3,Male,-84.93658269,40.74577516,237.5572674418604
2013,IN,30.4,Male,-84.93658269,40.74577516,236.46889534883712
2014,IN,29.6,Male,-84.93658269,40.74577516,237.65755813953461
2015,IN,32.5,Male,-84.93658269,40.74577516,235.49011627906984
2016,IN,35.0,Male,-84.93658269,40.74577516,247.84418604651148
2017,IN,36.4,Male,-84.93658269,40.74577516,257.7075581395348
2018,IN,39.3,Male,-84.93658269,40.74577516,262.21104651162796
2019,IN,38.5,Male,-84.93658269,40.74577516,270.90523255813923
2000,KS,9.6,Female,-95.30135772,37.88569131,144.727027027027
2001,KS,9.3,Female,-95.30135772,37.88569131,151.13320463320457
2002,KS,10.7,Female,-95.30135772,37.88569131,160.75212355212363
2003,KS,11.4,Female,-95.30135772,37.88569131,166.74169884169888
2004,KS,10.7,Female,-95.30135772,37.88569131,156.30115830115815
2005,KS,8.7,Female,-95.30135772,37.88569131,162.1868725868726
2006,KS,9.4,Female,-95.30135772,37.88569131,152.43204633204624
2007,KS,10.0,Female,-95.30135772,37.88569131,140.68146718146724
2008,KS,11.5,Female,-95.30135772,37.88569131,144.12972972972966
2009,KS,11.8,Female,-95.30135772,37.88569131,132.54169884169895
2010,KS,10.9,Female,-95.30135772,37.88569131,131.2382239382239
2011,KS,12.6,Female,-95.30135772,37.88569131,127.99111969111965
2012,KS,12.3,Female,-95.30135772,37.88569131,127.44169884169882
2013,KS,13.1,Female,-95.30135772,37.88569131,135.4220077220077
2014,KS,13.1,Female,-95.30135772,37.88569131,138.30154440154436
2015,KS,14.6,Female,-95.30135772,37.88569131,149.97722007722018
2016,KS,16.8,Female,-95.30135772,37.88569131,161.40308880308893
2017,KS,19.9,Female,-95.30135772,37.88569131,187.43629343629337
2018,KS,22.4,Female,-95.30135772,37.88569131,193.1420849420848
2019,KS,26.7,Female,-95.30135772,37.88569131,200.80231660231675
2000,KY,171.0,Female,-85.28062543,37.10392496,166.19439252336448
2001,KY,175.1,Female,-85.28062543,37.10392496,173.42710280373845
2002,KY,176.2,Female,-85.28062543,37.10392496,177.30280373831795
2003,KY,195.6,Female,-85.28062543,37.10392496,202.16939252336456
2004,KY,194.4,Female,-85.28062543,37.10392496,207.6093457943926
2005,KY,208.2,Female,-85.28062543,37.10392496,217.2254672897198
2006,KY,202.7,Female,-85.28062543,37.10392496,206.83878504672893
2007,KY,191.2,Female,-85.28062543,37.10392496,199.58948598130837
2008,KY,199.8,Female,-85.28062543,37.10392496,204.0565420560746
2009,KY,184.1,Female,-85.28062543,37.10392496,191.23691588785024
2010,KY,181.8,Female,-85.28062543,37.10392496,196.7614485981306
2011,KY,182.3,Female,-85.28062543,37.10392496,207.91144859813096
2012,KY,162.8,Female,-85.28062543,37.10392496,217.49485981308422
2013,KY,149.6,Female,-85.28062543,37.10392496,210.2537383177569
2014,KY,171.6,Female,-85.28062543,37.10392496,225.18831775700923
2015,KY,189.7,Female,-85.28062543,37.10392496,239.59556074766354
2016,KY,226.7,Female,-85.28062543,37.10392496,243.64462616822414
2017,KY,263.0,Female,-85.28062543,37.10392496,240.08761682242994
2018,KY,256.7,Female,-85.28062543,37.10392496,232.74626168224285
2019,KY,270.7,Female,-85.28062543,37.10392496,245.3056074766352
2000,LA,19.0,Female,-92.41185408,30.29027112,229.23699186991865
2001,LA,21.2,Female,-92.41185408,30.29027112,223.7369918699187
2002,LA,19.9,Female,-92.41185408,30.29027112,224.5882113821137
2003,LA,21.8,Female,-92.41185408,30.29027112,236.73130081300815
2004,LA,21.0,Female,-92.41185408,30.29027112,232.34268292682916
2005,LA,21.6,Female,-92.41185408,30.29027112,241.44593495934967
2006,LA,20.5,Female,-92.41185408,30.29027112,227.64308943089435
2007,LA,21.5,Female,-92.41185408,30.29027112,238.47276422764227
2008,LA,21.0,Female,-92.41185408,30.29027112,238.66178861788595
2009,LA,19.9,Female,-92.41185408,30.29027112,228.49390243902448
2010,LA,18.5,Female,-92.41185408,30.29027112,223.4796747967479
2011,LA,16.9,Female,-92.41185408,30.29027112,222.45650406504052
2012,LA,18.4,Female,-92.41185408,30.29027112,239.91829268292685
2013,LA,19.5,Female,-92.41185408,30.29027112,257.3780487804879
2014,LA,21.9,Female,-92.41185408,30.29027112,260.26951219512176
2015,LA,19.4,Female,-92.41185408,30.29027112,267.84349593495926
2016,LA,20.3,Female,-92.41185408,30.29027112,267.7276422764228
2017,LA,21.9,Female,-92.41185408,30.29027112,271.9243902439022
2018,LA,22.7,Female,-92.41185408,30.29027112,278.78414634146344
2019,LA,23.7,Female,-92.41185408,30.29027112,286.7691056910569
2000,MA,7.4,Female,-70.28985529,41.72330649,144.62745098039215
2001,MA,6.3,Female,-70.28985529,41.72330649,143.81568627450983
2002,MA,6.2,Female,-70.28985529,41.72330649,148.2
2003,MA,6.4,Female,-70.28985529,41.72330649,153.95882352941175
2004,MA,5.6,Female,-70.28985529,41.72330649,147.9235294117647
2005,MA,7.3,Female,-70.28985529,41.72330649,143.23333333333335
2006,MA,9.3,Female,-70.28985529,41.72330649,150.4411764705882
2007,MA,9.7,Female,-70.28985529,41.72330649,151.89803921568625
2008,MA,11.0,Female,-70.28985529,41.72330649,144.51568627450987
2009,MA,12.2,Female,-70.28985529,41.72330649,144.07843137254903
2010,MA,12.4,Female,-70.28985529,41.72330649,143.2490196078431
2011,MA,11.7,Female,-70.28985529,41.72330649,139.9176470588235
2012,MA,12.3,Female,-70.28985529,41.72330649,138.36274509803923
2013,MA,12.2,Female,-70.28985529,41.72330649,135.93333333333334
2014,MA,11.7,Female,-70.28985529,41.72330649,135.45686274509805
2015,MA,12.8,Female,-70.28985529,41.72330649,143.98431372549018
2016,MA,12.7,Female,-70.28985529,41.72330649,140.1078431372549
2017,MA,13.5,Female,-70.28985529,41.72330649,143.77254901960785
2018,MA,14.2,Female,-70.28985529,41.72330649,151.09607843137252
2019,MA,16.0,Female,-70.28985529,41.72330649,152.41960784313724
2000,MD,23.9,Female,-78.69726186,39.62122196,292.8416666666666
2001,MD,23.4,Female,-78.69726186,39.62122196,293.0697916666667
2002,MD,22.4,Female,-78.69726186,39.62122196,296.8520833333332
2003,MD,21.6,Female,-78.69726186,39.62122196,286.5510416666667
2004,MD,21.1,Female,-78.69726186,39.62122196,286.5718750000001
2005,MD,21.3,Female,-78.69726186,39.62122196,282.54895833333336
2006,MD,20.6,Female,-78.69726186,39.62122196,270.07187500000003
2007,MD,19.9,Female,-78.69726186,39.62122196,279.1989583333334
2008,MD,19.4,Female,-78.69726186,39.62122196,266.53333333333325
2009,MD,22.2,Female,-78.69726186,39.62122196,262.42291666666665
2010,MD,22.0,Female,-78.69726186,39.62122196,247.30625
